run,n,mono_ns,high_ns,tsc_cycles
819,65536,1816844,1681384,4107774
820,65536,1642184,1704148,4179764
821,65536,1680546,1675122,4094436
822,65536,1639548,1646438,4282892
823,65536,1678798,1718670,4326400
824,65536,1642260,1660288,4177970
825,65536,1684545,1757246,4441270
826,65536,1741790,1742119,4480810
827,65536,1762653,1758424,4305182
828,65536,1724485,1658670,4382930
829,65536,1682239,1670541,4114582
830,65536,1729141,1926433,4082458
831,65536,1642343,1634385,4231364
832,65536,1687069,1768987,4301466
833,65536,1642331,1630891,4208380
834,65536,1684435,1737099,4211336
835,65536,1780034,1682991,4106178
836,65536,1688828,1657214,4209016
837,65536,1681827,1724376,4102422
838,65536,1642588,1654903,4175768
839,65536,1680231,1670673,4225084
840,65536,1726944,1783572,4305250
841,65536,1791153,1631294,4228578
842,65536,1728435,1743708,4088758
843,65536,1643569,1640388,4223472
844,65536,1690125,1740609,4228700
845,65536,1689154,1678645,4204584
846,65536,1748335,1690485,4089480
847,65536,1754000,1927904,4318700
848,65536,1643882,1663849,4302600
849,65536,1665823,1638471,4382972
850,65536,1640032,1657629,4077550
851,65536,1679045,1673739,4163040
852,65536,1640401,1764685,4186530
853,65536,1717082,1629867,4220498
854,65536,1727843,1742406,4094358
855,65536,1641307,1638056,4326612
856,65536,1684072,1812401,4202016
857,65536,1688774,1676817,4108558
858,65536,1731554,1658205,4310810
859,65536,1643493,1705473,4106458
860,65536,1682085,1697774,4067136
861,65536,1640650,1920400,4492034
862,65536,2012588,2062579,4874246
863,65536,2001754,2022830,4984334
864,65536,2099921,1943531,4978502
865,65536,1928077,1924336,4839804
866,65536,1926616,1934482,4797530
867,65536,1921931,1921834,4825694
868,65536,1922091,1948032,4781008
869,65536,1922563,1920580,4814640
870,65536,1927651,1945293,4799256
871,65536,1926527,1918821,4820032
872,65536,1774026,1779123,4288682
873,65536,1726655,1598584,4356428
874,65536,1637458,1692380,4063350
875,65536,1695674,1599733,4640602
876,65536,1644273,1704024,3992616
877,65536,1602984,1592401,4111682
878,65536,1622385,1605173,4085248
879,65536,1648390,1592862,3999984
880,65536,1796918,1631668,4152536
881,65536,1650294,1643792,4005072
882,65536,1659546,1618274,4112458
883,65536,1698928,1688423,4008902
884,65536,1600903,1617653,4091688
885,65536,1647189,1727579,4354906
886,65536,1604501,1614792,4244166
887,65536,1673595,1595477,4007396
888,65536,1646128,1659108,3984080
889,65536,1653878,1644063,4122714
890,65536,1600351,1673525,4116320
891,65536,1644626,1639699,4120194
892,65536,1788379,1622746,4210228
893,65536,1646530,1639371,3999190
894,65536,1648758,1856113,4107466
895,65536,2147905,2021070,5182854
896,65536,2124743,2161087,5030150
897,65536,2068161,2042932,5032312
898,65536,2149553,1997329,5029260
899,65536,2045350,2045004,5160536
900,65536,1983610,2007244,4936536
901,65536,1976349,1974552,4972494
902,65536,1975676,2004692,5023738
903,65536,1982729,1971032,4961398
904,65536,1979360,1998293,4923216
905,65536,1979423,1970504,4966168
906,65536,1992206,1824116,4939726
907,65536,1807904,1800452,4440366
908,65536,1669961,1672435,4208764
909,65536,1656174,1722481,4003214
910,65536,1644312,1652843,4352528
911,65536,1721441,1858645,4401346
912,65536,1784152,1703548,4408076
913,65536,1722280,1754918,4211318
914,65536,1687080,1703867,4404686
915,65536,1767852,1711820,4322190
916,65536,1760066,1746924,4307346
917,65536,1723505,1678867,4319592
918,65536,1725085,1783874,4188640
919,65536,1722257,1683022,4322804
920,65536,1805460,1908220,4402358
921,65536,1913357,1875107,4987068
922,65536,2097345,1883208,4596548
923,65536,1876745,1676650,4622426
924,65536,1680903,1741862,4186858
925,65536,1726152,1677396,4400900
926,65536,1719730,1835370,4180572
927,65536,1683543,1679155,4219230
928,65536,1876839,1735779,4390314
929,65536,1727826,1752226,4212766
930,65536,1727478,1699608,4276368
931,65536,1724629,1753848,4319134
932,65536,1685260,1704252,4276330
933,65536,1721912,1708678,4421514
934,65536,1684891,1698896,4278154
935,65536,1766746,1719106,4211694
936,65536,1874786,1937554,4382162
937,65536,1684715,1679729,4333024
938,65536,1726813,1738915,4287712
939,65536,1824655,1708691,4530000
940,65536,1724262,1696393,4185062
941,65536,1680699,2017287,4295782
942,65536,1686335,1711568,4270222
943,65536,1720948,1711517,4217494
944,65536,1680706,1863384,4279748
945,65536,1725019,1713439,4206830
946,65536,1762925,1687094,4476610
947,65536,1725007,1724070,4219720
948,65536,1800185,1764619,4532826
949,65536,1731241,1853730,4525898
950,65536,1802659,1837026,4497036
951,65536,1823705,1716406,4317122
952,65536,2050702,2158299,5070304
953,65536,2067620,2039568,5213396
954,65536,2105965,2132158,5233838
955,65536,2111048,2132653,5158930
956,65536,1984921,2003192,5156164
957,65536,2034741,1973369,4963478
958,65536,2017035,2074193,4918290
959,65536,2018392,2052755,5350498
960,65536,1980530,1999736,5042322
961,65536,1982161,1980114,4959214
962,65536,1981917,2006221,4920086
963,65536,1982894,1973344,4848700
964,65536,1984758,2004659,5030266
965,65536,1987188,2037540,4965942
966,65536,1988212,2009479,4954702
967,65536,1991413,1978809,4960998
968,65536,1982738,1993596,5012628
969,65536,1983233,1972853,4958648
970,65536,1845781,1883822,4495474
971,65536,1890019,1769596,4505620
972,65536,1771745,1902552,4617608
973,65536,1921806,1769535,4622006
974,65536,1932543,1778546,4492110
975,65536,1773400,1806209,4442902
976,65536,1771103,1782244,4507036
977,65536,1783193,1881551,4429556
978,65536,1807661,1822670,4614784
979,65536,1849695,1798789,4425856
980,65536,1772330,1791991,4499110
981,65536,1774191,1769940,4432234
982,65536,1901566,2606155,6753380
983,65536,2601252,2586966,6487890
984,65536,2601916,2630128,6468890
985,65536,2604106,2587776,6485446
986,65536,2599030,2277455,6224200
987,65536,2244885,2068197,5636614
988,65536,2097258,1975652,5088476
989,65536,1879994,1859092,4611934
990,65536,1806855,1899314,4784906
991,65536,1851747,1763869,4424870
992,65536,1773568,1821344,4415332
993,65536,1773891,1762870,4435544
994,65536,1774022,1786428,4594814
995,65536,1786235,1845671,4422492
996,65536,1772230,1794585,4503346
997,65536,1810488,1842937,4431020
998,65536,1771141,1782812,4405926
999,65536,1770513,1796709,4436262
1000,65536,1775043,1673466,4117562
